feature,coefficient
cart_size,12.002183958764999
total_value,5.202602552849643
has_cheddar_sauce,-4.856441600078202
has_garlic_sauce,-4.127658919195436
has_blueberry_sauce,-3.5252550731316865
avg_price,-2.7258448971311804
count_side_dish,-2.457995835147567
has_spicy_sauce,-2.1138480380710347
has_tomato_sauce,-1.9994420352574318
distinct_products,1.9474781788537419
has_pink_sauce,-1.8605924951699029
count_drink,-1.8249116760052537
value_drink,-1.762151243516696
count_schnitzel,-1.3958526919150998
value_schnitzel,-1.3609952810200938
value_side_dish,-1.3375138522532461
has_crazy_fries_with_cheddar_sauce,-1.314303425089508
count_packaging,-1.1538207964911302
has_packaging,-1.1538103089475007
value_packaging,-1.1537635120210588
has_baked_potatoes,-1.0563294792268818
has_breaded_chicken_schnitzel,-1.0152698489343237
has_aqua_carpatica_plata_0.5l,-0.9857455249498673
value_extra,-0.9383380061314462
count_extra,-0.9281047963870462
count_main_dish,-0.8585410324802846
value_main_dish,-0.857021490640544
has_mac_and_cheese_with_crispy_bacon,-0.8128551820479575
has_crazy_fries_with_parmesan,-0.7610045267434339
has_crazy_schnitzel,-0.6548995880319713
has_aqua_carpatica_minerala_0.5l,-0.6528103809857897
has_mountain_dew_0.25l_doze,-0.6040017992781435
has_extra_parmezan,-0.5915160120798785
has_extra_bacon,-0.5907989287557437
has_extra_jalapeno,-0.5820156094418794
has_pepsi_cola_can_0.33l,-0.5602667567235601
count_salad,-0.5032202715329288
has_arugula_salad_with_cherry_tomatoes_and_parmesan,-0.5007490406224179
has_french_fries,-0.4920648625859702
value_salad,-0.4834838458188171
has_pepsi_cola_0.25l_doze,-0.4816349552308759
has_extra_lamaie,-0.44959460974959525
has_crazy_fries_with_cheddar_sauce_and_bacon,-0.4173070198142364
has_margherita_pizza_schnitzel,-0.4080408606541565
value_dessert,-0.4002211076878612
count_dessert,-0.3995612521055368
has_prigat_still_orange_0.25l,-0.3958973953817376
has_7up_lemon_lime_0.33l,-0.3629108117622523
has_prigat_still_peach_apricot_0.25l,-0.3624985047011569
has_healthy_red_fit_schnitzel,-0.34086458546065673
has_crazy_peaches,-0.3307119211420054
has_red_fit_schnitzel,-0.32790405821448887
has_breaded_pork_schnitzel,-0.3169383120687255
has_viennese_schnitzel,-0.31288507803122534
is_weekend,-0.3008717669121649
has_crazy_pepperoni_schnitzel,-0.2999518763165263
has_jalapeno_pizza_schnitzel,-0.2916570340250263
has_mirinda_orange_can_0.33l,-0.2741409801459159
has_mac_and_cheese_with_jalapeno_and_tomato_sauce,-0.27000130940579764
has_mac_and_cheease,-0.26536560450923447
has_snails_with_walnuts_and_meringue,-0.26355544739798104
has_pepsi_twist_zero_can_0.33l,-0.25809762588838314
has_pepsi_zero_can_0.33l,-0.2579117618283495
has_pepsi_twist_can_0.33l,-0.21217480350279483
has_healthy_green_fit_schnitzel,-0.19272969345536378
has_crispy_chicken_schnitzel,-0.18213657350670687
has_potatoes_with_cheddar_and_bacon_sauce,-0.16742994877168654
has_chicken_bao_buns,-0.16137386064674134
has_green_fit_schnitzel,-0.10308401901216915
has_tagliata_schnitzel,-0.1023534155511755
hour,0.10230295223539507
has_chicken_schnitzel_with_feta_and_tomato_sauce,-0.09619246893165267
has_potatoes_with_cheddar_sauce,-0.09619234616449958
has_lipton_lemon_tea_0.33l,-0.0892785911535829
has_healthy_salad_with_chicken_and_seeds,-0.05944197911212557
has_french_fries_with_parmesan,-0.05888246755449002
day_of_week,0.052944239018467655
has_potatoes_with_feta,-0.04469338310906928
has_extra_cheddar_sauce,0.03029045772899172
has_fit_schnitzel_with_seeds,-0.0279826568188342
is_evening,-0.02064156341661014
is_lunch,0.014166863436849145
is_morning,0.014123343721649978
