pl_gest,data_bon,id_gest,anluna,pct_lcr,id,pl_pr,id_pr,pl_bon,id_bon,retail_product_id,ProductCode,UnitMeasure,SalePrice,SalePriceWithVAT,ManagementWorkplaceId,ManagementId,retail_product_name,tip_zi,perioada_zilei,product_category,y
1,2025-09-05 12:04:19.553,1,202509,1,53353,1,9,1,35214,10156,JAA,BUC     ,1.65,2.0,1,1,Packaging,weekend,lunch,packaging,1
1,2025-09-05 12:04:19.553,1,202509,1,53349,1,54,1,35214,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,1
1,2025-09-05 12:04:19.553,1,202509,1,53352,1,71,1,35214,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,lunch,sauce,1
1,2025-09-05 12:04:19.553,1,202509,1,53351,1,93,1,35214,143,GAA,BUC     ,8.56,9.5,1,1,Aqua Carpatica Plata 0.5L,weekend,lunch,drink,1
1,2025-09-05 12:04:19.553,1,202509,1,53350,1,10109,1,35214,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,lunch,side_dish,1
1,2025-09-05 12:52:43.810,1,202509,1,53399,1,9,1,35221,10156,JAA,BUC     ,1.65,2.0,1,1,Packaging,weekend,lunch,packaging,1
1,2025-09-05 12:52:43.810,1,202509,1,53395,1,54,1,35221,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,1
1,2025-09-05 12:52:43.810,1,202509,1,53398,1,71,1,35221,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,lunch,sauce,1
1,2025-09-05 12:52:43.810,1,202509,1,53397,1,93,1,35221,143,GAA,BUC     ,8.56,9.5,1,1,Aqua Carpatica Plata 0.5L,weekend,lunch,drink,1
1,2025-09-05 12:52:43.810,1,202509,1,53396,1,10108,1,35221,10164,EBA,BUC     ,11.62,12.9,1,2,Baked potatoes,weekend,lunch,side_dish,1
1,2025-09-05 12:54:54.770,1,202509,1,53401,1,54,1,35222,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,0
1,2025-09-05 12:54:54.770,1,202509,1,53402,1,60,1,35222,113,EBA,BUC     ,25.14,27.9,1,1,Breaded Chicken Schnitzel,weekend,lunch,schnitzel,0
1,2025-09-05 12:54:54.770,1,202509,1,53403,1,10110,1,35222,10186,GAA,BUC     ,9.92,12.0,1,2,Pepsi Twist Zero Can 0.33L,weekend,lunch,drink,0
1,2025-09-05 13:37:18.090,1,202509,1,53436,1,71,1,35229,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,lunch,sauce,1
1,2025-09-05 13:37:18.090,1,202509,1,53441,1,77,1,35229,137,EBA,BUC     ,7.12,7.9,1,2,Blueberry Sauce,weekend,lunch,sauce,1
1,2025-09-05 13:37:18.090,1,202509,1,53446,1,77,1,35229,137,EBA,BUC     ,7.12,7.9,1,2,Blueberry Sauce,weekend,lunch,sauce,1
1,2025-09-05 13:37:18.090,1,202509,1,53443,1,60,1,35229,113,EBA,BUC     ,25.14,27.9,1,1,Breaded Chicken Schnitzel,weekend,lunch,schnitzel,1
1,2025-09-05 13:37:18.090,1,202509,1,53447,1,9,1,35229,10156,JAA,BUC     ,1.65,2.0,1,1,Packaging,weekend,lunch,packaging,1
1,2025-09-05 13:37:18.090,1,202509,1,53433,1,54,1,35229,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,1
1,2025-09-05 13:37:18.090,1,202509,1,53438,1,54,1,35229,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,1
1,2025-09-05 13:37:18.090,1,202509,1,53434,1,10109,1,35229,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,lunch,side_dish,1
1,2025-09-05 13:37:18.090,1,202509,1,53445,1,10102,1,35229,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,lunch,drink,1
1,2025-09-05 13:37:18.090,1,202509,1,53435,1,10102,1,35229,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,lunch,drink,1
1,2025-09-05 13:37:18.090,1,202509,1,53440,1,10102,1,35229,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,lunch,drink,1
1,2025-09-05 13:37:18.090,1,202509,1,53444,1,10108,1,35229,10164,EBA,BUC     ,11.62,12.9,1,2,Baked potatoes,weekend,lunch,side_dish,1
1,2025-09-05 13:37:18.090,1,202509,1,53439,1,10108,1,35229,10164,EBA,BUC     ,11.62,12.9,1,2,Baked potatoes,weekend,lunch,side_dish,1
1,2025-09-05 14:04:55.633,1,202509,1,53483,1,79,1,35234,127,EBA,BUC     ,23.33,25.9,1,1,Mac & Cheese with Crispy Bacon,weekend,lunch,main_dish,0
1,2025-09-05 14:04:55.633,1,202509,1,53482,1,83,1,35234,10172,EBA,BUC     ,5.32,5.9,1,1,Extra bacon,weekend,lunch,extra,0
1,2025-09-05 14:04:55.633,1,202509,1,53484,1,54,1,35234,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,0
1,2025-09-05 14:20:12.063,1,202509,1,53498,1,73,1,35237,133,EBA,BUC     ,4.41,4.9,1,1,Tomato Sauce,weekend,lunch,sauce,0
1,2025-09-05 14:20:12.063,1,202509,1,53495,1,54,1,35237,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,0
1,2025-09-05 14:20:12.063,1,202509,1,53496,1,10109,1,35237,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,lunch,side_dish,0
1,2025-09-05 14:20:12.063,1,202509,1,53497,1,10102,1,35237,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,lunch,drink,0
1,2025-09-05 14:23:38.827,1,202509,1,53506,1,79,1,35240,127,EBA,BUC     ,23.33,25.9,1,1,Mac & Cheese with Crispy Bacon,weekend,lunch,main_dish,0
1,2025-09-05 14:23:38.827,1,202509,1,53507,1,54,1,35240,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,0
1,2025-09-05 14:23:38.827,1,202509,1,53508,1,10110,1,35240,10186,GAA,BUC     ,9.92,12.0,1,2,Pepsi Twist Zero Can 0.33L,weekend,lunch,drink,0
1,2025-09-05 14:55:58.703,1,202509,1,53527,1,54,1,35245,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,1
1,2025-09-05 14:55:58.703,1,202509,1,53530,1,71,1,35245,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,lunch,sauce,1
1,2025-09-05 14:55:58.703,1,202509,1,53529,1,10102,1,35245,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,lunch,drink,1
1,2025-09-05 14:55:58.703,1,202509,1,53528,1,10109,1,35245,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,lunch,side_dish,1
1,2025-09-05 15:41:52.100,1,202509,1,53558,1,71,1,35251,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,lunch,sauce,1
1,2025-09-05 15:41:52.100,1,202509,1,53555,1,54,1,35251,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,lunch,schnitzel,1
1,2025-09-05 15:41:52.100,1,202509,1,53557,1,10102,1,35251,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,lunch,drink,1
1,2025-09-05 15:41:52.100,1,202509,1,53556,1,10109,1,35251,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,lunch,side_dish,1
1,2025-09-05 16:29:09.600,1,202509,1,53862,1,71,1,35281,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,evening,sauce,1
1,2025-09-05 16:29:09.600,1,202509,1,53861,1,92,1,35281,142,GAA,BUC     ,10.81,12.0,1,2,Aqua Carpatica Minerala 0.5L,weekend,evening,drink,1
1,2025-09-05 16:29:09.600,1,202509,1,53859,1,54,1,35281,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,evening,schnitzel,1
1,2025-09-05 16:29:09.600,1,202509,1,53860,1,10109,1,35281,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,evening,side_dish,1
1,2025-09-05 16:49:02.023,1,202509,1,53980,1,54,1,35292,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,evening,schnitzel,1
1,2025-09-05 16:49:02.023,1,202509,1,53984,1,9,1,35292,10156,JAA,BUC     ,1.65,2.0,1,1,Packaging,weekend,evening,packaging,1
1,2025-09-05 16:49:02.023,1,202509,1,53975,1,60,1,35292,113,EBA,BUC     ,25.14,27.9,1,1,Breaded Chicken Schnitzel,weekend,evening,schnitzel,1
1,2025-09-05 16:49:02.023,1,202509,1,53983,1,71,1,35292,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,evening,sauce,1
1,2025-09-05 16:49:02.023,1,202509,1,53978,1,74,1,35292,134,EBA,BUC     ,4.41,4.9,1,1,Garlic Sauce,weekend,evening,sauce,1
1,2025-09-05 16:49:02.023,1,202509,1,53981,1,10109,1,35292,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,evening,side_dish,1
1,2025-09-05 16:49:02.023,1,202509,1,53977,1,10102,1,35292,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,evening,drink,1
1,2025-09-05 16:49:02.023,1,202509,1,53982,1,10103,1,35292,10160,GAA,BUC     ,7.44,9.0,1,1,Mountain Dew 0.25L Doze,weekend,evening,drink,1
1,2025-09-05 16:49:02.023,1,202509,1,53976,1,10108,1,35292,10164,EBA,BUC     ,11.62,12.9,1,2,Baked potatoes,weekend,evening,side_dish,1
1,2025-09-05 17:36:02.120,1,202509,1,54091,1,54,1,35310,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,evening,schnitzel,1
1,2025-09-05 17:36:02.120,1,202509,1,54094,1,71,1,35310,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,evening,sauce,1
1,2025-09-05 17:36:02.120,1,202509,1,54093,1,10102,1,35310,10159,GAA,BUC     ,9.92,12.0,1,2,Pepsi Cola 0.25L Doze,weekend,evening,drink,1
1,2025-09-05 17:36:02.120,1,202509,1,54092,1,10109,1,35310,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,evening,side_dish,1
1,2025-09-05 17:38:23.050,1,202509,1,54100,1,74,1,35311,134,EBA,BUC     ,4.41,4.9,1,1,Garlic Sauce,weekend,evening,sauce,0
1,2025-09-05 17:38:23.050,1,202509,1,54097,1,54,1,35311,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,evening,schnitzel,0
1,2025-09-05 17:38:23.050,1,202509,1,54099,1,93,1,35311,143,GAA,BUC     ,8.56,9.5,1,1,Aqua Carpatica Plata 0.5L,weekend,evening,drink,0
1,2025-09-05 17:38:23.050,1,202509,1,54098,1,10109,1,35311,10165,EBA,BUC     ,29.64,32.9,1,2,Mac & cheease,weekend,evening,side_dish,0
1,2025-09-05 18:23:36.487,1,202509,1,54132,1,83,1,35319,10172,EBA,BUC     ,5.32,5.9,1,1,Extra bacon,weekend,evening,extra,1
1,2025-09-05 18:23:36.487,1,202509,1,54129,1,92,1,35319,142,GAA,BUC     ,10.81,12.0,1,2,Aqua Carpatica Minerala 0.5L,weekend,evening,drink,1
1,2025-09-05 18:23:36.487,1,202509,1,54137,1,72,1,35319,132,EBA,BUC     ,5.32,5.9,1,1,Cheddar Sauce,weekend,evening,sauce,1
1,2025-09-05 18:23:36.487,1,202509,1,54130,1,71,1,35319,131,EBA,BUC     ,6.22,6.9,1,2,Crazy Sauce,weekend,evening,sauce,1
1,2025-09-05 18:23:36.487,1,202509,1,54131,1,78,1,35319,138,EBA,BUC     ,16.13,17.9,1,2,Arugula Salad with Cherry Tomatoes and Parmesan,weekend,evening,salad,1
1,2025-09-05 18:23:36.487,1,202509,1,54134,1,60,1,35319,113,EBA,BUC     ,25.14,27.9,1,1,Breaded Chicken Schnitzel,weekend,evening,schnitzel,1
1,2025-09-05 18:23:36.487,1,202509,1,54127,1,54,1,35319,112,EBA,BUC     ,26.04,28.9,1,1,Crazy Schnitzel,weekend,evening,schnitzel,1
1,2025-09-05 18:23:36.487,1,202509,1,54136,1,93,1,35319,143,GAA,BUC     ,8.56,9.5,1,1,Aqua Carpatica Plata 0.5L,weekend,evening,drink,1
