id_bon,count_category_packaging,count_category_schnitzel,count_category_sauce,count_category_drink,count_category_side_dish,count_product_packaging,count_product_crazy_schnitzel,count_product_crazy_sauce,count_product_aqua_carpatica_plata_0_5l,count_product_mac_&_cheease,count_product_blueberry_sauce,count_product_breaded_pork_schnitzel,count_product_pepsi_cola_0_25l_doze,count_product_breaded_chicken_schnitzel,count_product_cheddar_sauce,count_product_baked_potatoes,count_category_extra,count_product_tomato_sauce,count_product_extra_parmezan,count_product_viennese_schnitzel,count_product_pepsi_twist_zero_can_0_33l,count_product_garlic_sauce,count_product_extra_bacon,count_product_aqua_carpatica_minerala_0_5l,count_product_mountain_dew_0_25l_doze,count_category_main_dish,count_product_mac_&_cheese_with_crispy_bacon,count_product_healthy_green_fit_schnitzel,count_product_healthy_red_fit_schnitzel,count_product_crazy_fries_with_cheddar_sauce,count_product_pepsi_cola_can_0_33l,count_product_pink_sauce,count_product_margherita_pizza_schnitzel,count_product_crazy_fries_with_parmesan,count_product_extra_lamaie,count_category_salad,count_product_arugula_salad_with_cherry_tomatoes_and_parmesan,count_product_spicy_sauce,count_product_prigat_still_peach_apricot_0_25l,count_product_extra_jalapeno,count_product_crazy_pepperoni_schnitzel,count_product_pepsi_twist_can_0_33l,count_product_jalapeno_pizza_schnitzel,count_product_red_fit_schnitzel,count_product_prigat_still_orange_0_25l,count_product_green_fit_schnitzel,count_product_mac_&_cheese_with_jalapeno_and_tomato_sauce,count_product_pepsi_zero_can_0_33l,count_product_7up_lemon_lime_0_33l,count_product_tagliata_schnitzel,count_product_lipton_lemon_tea_0_33l,count_product_mirinda_orange_can_0_33l,count_product_extra_cheddar_sauce,count_product_crazy_fries_with_cheddar_sauce_and_bacon,count_category_dessert,count_product_crazy_peaches,count_product_snails_with_walnuts_and_meringue,count_product_chicken_schnitzel_with_feta_and_tomato_sauce,count_product_french_fries,count_product_crispy_chicken_schnitzel,count_product_fit_schnitzel_with_seeds,count_product_potatoes_with_cheddar_and_bacon_sauce,count_product_healthy_salad_with_chicken_and_seeds,count_product_potatoes_with_feta,count_product_chicken_bao_buns,count_product_potatoes_with_cheddar_sauce,count_product_french_fries_with_parmesan,count_product_crispy_chicken_salad,has_crazy_sauce,has_cheddar_sauce,has_extra_cheddar_sauce,has_garlic_sauce,has_tomato_sauce,has_blueberry_sauce,has_spicy_sauce,has_pink_sauce
35214,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35215,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35216,1,2,2,2,2,1,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35217,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35218,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35219,0,2,2,2,2,0,0,0,0,0,0,0,2,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35220,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35221,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35222,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35223,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
